Title,Media
"“Hay que potenciar al deporte como una herramienta de cambio.” @coti_echeverria cruzó muchas metas en su vida: representó a su país como atleta profesional, fue madre cuatro veces, comenzó una nueva carrera a los 30 y hoy ayuda a niños y niñas para que tengan un futuro mejor a través del deporte. Parece mucho, pero ella sabe que todavía tiene muchas líneas de llegada por cruzar. ¿Cuál es tu próxima meta? Cuéntanos en los comentarios",https://video.fisb6-1.fna.fbcdn.net/v/t42.1790-2/242674243_4961835020500272_9159872327072592336_n.mp4?_nc_cat=101&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=Lw2DjdABXPMAX-bV3Uh&_nc_ht=video.fisb6-1.fna&oh=c8da88caa3cc61b106ae08b57dafe62b&oe=614F6F01
La Morada,https://video.fisb6-1.fna.fbcdn.net/v/t42.1790-2/242194627_1034823767346639_1428846099201254129_n.?_nc_cat=107&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=UbUkM2ZWbdMAX_m6mWS&_nc_ht=video.fisb6-1.fna&oh=bf8aac2f48a5a5efa9dc8df61e1c5d46&oe=614F740E
,https://scontent.fisb6-2.fna.fbcdn.net/v/t39.35426-6/s600x600/242257879_368245014854080_4558670898168296830_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=ZlKFYXR22p0AX_xoxSG&_nc_oc=AQlvEWetqmSOFK05rsb86BqKhWYb8xHP7UDEoEBe3-8-arEss8BUyU1ojZ1iBG5oTnw&_nc_ht=scontent.fisb6-2.fna&oh=1650cc6e2900dd10f4896e189f7ef284&oe=61548B73
It’s sleek and lightweight and has the traction you need to be first to the rim.,https://scontent.fisb6-1.fna.fbcdn.net/v/t39.35426-6/s600x600/242947120_162684426048763_7396816774963844668_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=5HvuuxBBxWYAX9MtDnm&_nc_ht=scontent.fisb6-1.fna&oh=056eae1f191c43d7351d4143c48fb20e&oe=61544B0D
The first step changes the game.,https://scontent.fisb6-1.fna.fbcdn.net/v/t39.35426-6/s600x600/217806198_210281161016604_8606541756916564021_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=1xZoxe_xu5kAX8miId3&_nc_ht=scontent.fisb6-1.fna&oh=9313d754d65caa8c17db076d3e2b4705&oe=61552AB5
The first step changes the game.,https://scontent.fisb6-2.fna.fbcdn.net/v/t39.35426-6/s600x600/218756929_356500902801358_8893587690598637340_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=hb5MckhHKLUAX9qMzEv&_nc_ht=scontent.fisb6-2.fna&oh=385f4509c33e6e5afa8fb4ec60bb7173&oe=6153F52F
Ready to take your game to the next level? Get the gear you need to take the pitch.,https://scontent.fisb6-2.fna.fbcdn.net/v/t39.35426-6/s600x600/241272762_1333802510368140_4600328170364185257_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=wabSD94T7GAAX_RCCQb&_nc_ht=scontent.fisb6-2.fna&oh=77d54b78a196f5148912aa7137ef63bf&oe=6153ADD2
Ready to take your game to the next level? Get the gear you need to dominate the court.,https://scontent.fisb6-2.fna.fbcdn.net/v/t39.35426-6/s600x600/240425720_1013166736189354_8097243496891502979_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=Rgouyi8ozXYAX8DyNmq&_nc_oc=AQmbRXy94-tMYLc15ap--ynUenpeX089EIAs35-gc0heoytuI01t7IGsXbrksVF_6JY&_nc_ht=scontent.fisb6-2.fna&oh=d9ecefc7b5e5e17c38fee090d953b64b&oe=6155316B
,https://video.fisb6-1.fna.fbcdn.net/v/t42.1790-2/241168216_386577619644845_8117998857789437910_n.?_nc_cat=111&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=Rryz0KDbbREAX_nHLHB&_nc_ht=video.fisb6-1.fna&oh=5477877e0d104a3c6cd23dee3acf9ad1&oe=614F743A
,https://video.fisb6-2.fna.fbcdn.net/v/t42.1790-2/241472518_1117069718824436_8392191618588957354_n.?_nc_cat=106&ccb=1-5&_nc_sid=cf96c8&_nc_ohc=XHwd5mdxo4QAX8NWPMX&_nc_ht=video.fisb6-2.fna&oh=f915c71c78faae098ad4bbdc6bb4c0d9&oe=614F6BCA
